Order_ID,Customer_ID,Restaurant_ID,Delivery_Partner_ID,Order_Date,Order_Value,Status,Delivery_Time_Min,Customer_Rating
504897,CUST1333,REST296,DP317,2024-04-06,980.07,Delivered,28.6,4.1
503302,CUST1109,REST274,DP490,2024-04-12,1123.98,Delivered,70.9,2.8
501846,CUST1340,REST300,DP426,2024-07-30,125.1,Delivered,70.6,4.6
500862,CUST1260,REST265,DP455,2024-11-13,227.97,Delivered,38.6,2.9
501267,CUST1349,REST250,DP415,2024-03-07,700.67,Delivered,23.6,4.0
500854,CUST1409,REST228,DP403,2024-08-27,293.42,Cancelled,,
504744,CUST1775,REST238,DP450,2024-06-13,372.71,Delivered,38.5,4.1
502221,CUST1596,REST213,DP452,2024-03-26,753.82,Delivered,49.0,4.2
502705,CUST1598,REST326,DP390,2024-03-27,1393.56,Delivered,51.6,3.9
504378,CUST1714,REST283,DP434,2024-05-27,821.27,Delivered,70.9,4.5
504759,CUST1151,REST294,DP328,2024-07-31,,Delivered,46.9,3.9
504487,CUST1410,REST330,DP408,2024-09-21,153.43,Delivered,22.2,
504881,CUST1682,REST289,DP380,2024-11-20,291.68,Delivered,38.0,2.9
501299,CUST1157,REST309,DP448,2024-03-08,461.03,Delivered,74.3,3.4
502448,CUST1408,REST336,DP402,2024-06-26,,Delivered,51.3,3.2
504399,CUST1635,REST301,DP430,2024-10-17,569.22,Delivered,48.3,3.6
504693,CUST1567,REST251,DP436,2024-11-28,1373.59,Delivered,18.2,3.1
504233,CUST1310,REST208,DP336,2024-12-23,1294.2,Delivered,70.0,2.8
500262,CUST1385,REST226,DP325,2024-04-17,578.0,Delivered,40.4,2.6
503038,CUST1461,REST266,DP318,2024-05-01,1159.42,Cancelled,,
502350,CUST1578,REST276,DP493,2024-11-04,900.17,Delivered,57.6,3.3
503448,CUST1469,REST341,DP390,2024-03-16,1013.68,Delivered,19.5,
501391,CUST1118,REST269,DP315,2024-02-01,808.22,Delivered,75.1,4.4
501198,CUST1348,REST330,DP376,2024-12-11,969.16,Cancelled,,
503657,CUST1732,REST207,DP450,2024-06-13,509.12,Delivered,69.8,3.2
504650,CUST1173,REST338,DP337,2024-12-11,594.01,Delivered,41.2,4.0
500338,CUST1426,REST257,DP419,2024-11-30,1146.44,Delivered,30.4,4.0
502375,CUST1416,REST294,DP473,2024-02-27,530.3,Delayed,39.4,
504967,CUST1258,REST224,DP323,2024-05-17,257.3,Delivered,39.5,4.6
502866,CUST1425,REST240,DP330,2024-01-04,535.91,Delivered,49.9,
500773,CUST1416,REST284,DP425,2024-01-27,800.21,Delivered,61.6,3.7
503046,CUST1469,REST341,DP391,2024-10-11,722.99,Cancelled,,
504002,CUST1469,REST320,DP480,2024-09-27,799.72,Delivered,67.9,2.8
502694,CUST1694,REST287,DP349,2024-10-28,148.92,Delivered,34.6,4.1
