Transaction_ID,Order_ID,Payment_Mode,Amount,Transaction_Status
TXN700000,504897,Cash,980.07,Success
TXN700001,503302,Cash,1123.98,Success
TXN700002,501846,,125.1,Success
TXN700003,500862,UPI,227.97,Success
TXN700004,501267,,700.67,Success
TXN700005,500854,Cash,293.42,Failed
TXN700006,504744,Cash,372.71,Success
TXN700007,502221,UPI,753.82,Success
TXN700008,502705,UPI,1393.56,Success
TXN700009,504378,Credit Card,821.27,Success
TXN700010,504759,UPI,-37.95,Failed
TXN700011,504487,UPI,153.43,Failed
TXN700012,504881,Cash,291.68,Success
TXN700013,501299,Cash,461.03,Success
TXN700014,502448,Wallet,-51.51,Success
TXN700015,504399,Wallet,569.22,Failed
TXN700016,504693,Cash,1373.59,Success
TXN700017,504233,Credit Card,1294.2,Success
TXN700018,500262,Credit Card,578.0,Failed
TXN700019,503038,Credit Card,1159.42,Refunded
TXN700020,502350,Cash,900.17,Success
TXN700021,503448,UPI,1013.68,Success
TXN700022,501391,Cash,808.22,Failed
TXN700023,501198,UPI,969.16,Failed
TXN700024,503657,Cash,509.12,Success
TXN700025,504650,Cash,594.01,Failed
TXN700026,500338,Debit Card,1146.44,Success
TXN700027,502375,Debit Card,530.3,Failed
TXN700028,504967,UPI,257.3,Success
TXN700029,502866,Cash,535.91,Success
TXN700030,500773,,800.21,Success
TXN700031,503046,UPI,722.99,Refunded
TXN700032,504002,Cash,799.72,Pending
TXN700033,502694,UPI,148.92,Success
TXN700034,504246,Wallet,1013.02,Success
TXN700035,503625,Cash,351.11,Failed
TXN700036,502565,Wallet,329.68,Refunded
TXN700037,502811,Cash,722.46,Success
TXN700038,503316,Cash,795.45,Success
TXN700039,502860,Credit Card,1305.01,Success
TXN700040,500077,Cash,396.35,Success
TXN700041,500774,Wallet,1094.75,Success
TXN700042,502256,Cash,488.43,Success
TXN700043,501356,Debit Card,777.43,Success
TXN700044,501300,UPI,1179.47,Refunded
TXN700045,501161,Debit Card,197.81,Success
TXN700046,503960,Debit Card,371.88,Success
TXN700047,502446,Cash,529.01,Failed
TXN700048,503762,Debit Card,1238.51,Success
TXN700049,500143,Credit Card,1342.83,Success
TXN700050,504782,Wallet,578.35,Success
TXN700051,504610,UPI,743.94,Success
TXN700052,501058,Cash,346.86,Refunded
TXN700053,502326,Cash,331.96,Success
TXN700054,503086,UPI,1097.23,Success
TXN700055,501411,UPI,431.56,Success
TXN700056,503799,UPI,286.35,Success
TXN700057,504680,UPI,1151.51,Pending
TXN700058,500909,,1382.91,Success
TXN700059,501678,Credit Card,857.73,Pending
TXN700060,500998,Wallet,217.98,Failed
TXN700061,500607,Cash,562.2,Pending
TXN700062,503006,Cash,457.17,Success
TXN700063,502631,UPI,793.9,Success
TXN700064,500048,Wallet,1375.43,Success
TXN700065,500175,,382.96,Success
TXN700066,500706,,508.93,Success
TXN700067,500512,Wallet,1390.63,Success
TXN700068,502135,Cash,1028.12,Success
TXN700069,501665,Cash,639.82,Success
TXN700070,502182,Cash,529.04,Success
TXN700071,502892,Cash,1130.13,Success
TXN700072,502621,Credit Card,1294.0,Success
TXN700073,502240,Credit Card,597.63,Failed
TXN700074,501287,Wallet,205.45,Success
TXN700075,504719,UPI,684.88,Success
TXN700076,500778,,580.18,Success
TXN700077,500326,,1020.0,Success
TXN700078,503976,UPI,1244.1,Failed
TXN700079,504699,Cash,781.8,Failed
TXN700080,503338,,933.04,Success
TXN700081,500146,UPI,1390.43,Pending
TXN700082,502107,UPI,375.93,Success
TXN700083,504480,Cash,826.94,Failed
TXN700084,504954,Debit Card,454.78,Success
TXN700085,500385,Credit Card,171.17,Success
TXN700086,503781,UPI,1398.36,Success
TXN700087,502401,UPI,688.82,Failed
TXN700088,504949,Cash,561.41,Success
TXN700089,502572,Debit Card,305.04,Success
TXN700090,504060,Cash,1140.67,Success
TXN700091,502158,Cash,808.18,Success
TXN700092,503074,Debit Card,474.81,Success
TXN700093,500229,Debit Card,606.14,Failed
TXN700094,503437,UPI,803.12,Failed
TXN700095,503642,Cash,1267.15,Pending
TXN700096,504740,UPI,705.71,Success
TXN700097,500005,UPI,123.04,Success
TXN700098,503891,UPI,502.91,Success
TXN700099,504367,Debit Card,1108.48,Success
TXN700100,503587,,1254.97,Success
TXN700101,501502,Wallet,686.8,Refunded
TXN700102,502897,Cash,675.58,Pending
TXN700103,504104,UPI,555.94,Success
TXN700104,501552,Cash,901.59,Success
TXN700105,502898,Wallet,1043.24,Success
TXN700106,503882,Debit Card,409.98,Pending
TXN700107,501169,Wallet,987.72,Failed
TXN700108,502001,Wallet,739.57,Failed
TXN700109,504698,UPI,880.39,Refunded
TXN700110,503681,Debit Card,944.46,Success
TXN700111,504346,Cash,1124.84,Failed
TXN700112,500041,Debit Card,154.6,Success
TXN700113,504430,Wallet,701.29,Success
TXN700114,502022,,1303.99,Success
TXN700115,504476,Wallet,645.35,Failed
TXN700116,500956,,972.55,Success
TXN700117,502878,UPI,1154.57,Success
TXN700118,501315,Credit Card,221.47,Success
TXN700119,501249,Debit Card,1090.36,Failed
TXN700120,501034,Cash,478.06,Success
TXN700121,504468,Debit Card,828.5,Success
TXN700122,502268,Cash,1086.1,Success
TXN700123,500228,UPI,951.95,Success
TXN700124,501820,Debit Card,639.95,Success
TXN700125,503907,UPI,1351.11,Success
TXN700126,504567,,853.59,Failed
TXN700127,504050,UPI,438.51,Failed
TXN700128,501853,Debit Card,1080.73,Success
TXN700129,504212,UPI,699.83,Success
TXN700130,502676,,164.54,Success
TXN700131,503685,,816.37,Success
TXN700132,504454,Cash,917.8,Success
TXN700133,502839,UPI,1205.02,Pending
TXN700134,500170,,856.67,Failed
TXN700135,500910,Cash,618.63,Success
TXN700136,502591,Cash,297.11,Failed
TXN700137,504463,Cash,151.28,Failed
TXN700138,500310,Credit Card,833.36,Success
TXN700139,500686,Cash,1361.88,Success
TXN700140,500513,Debit Card,255.74,Success
TXN700141,501395,Debit Card,771.96,Success
TXN700142,503022,Debit Card,158.78,Pending
TXN700143,500874,,1077.43,Success
TXN700144,503957,Cash,770.78,Success
TXN700145,503844,Wallet,600.15,Success
TXN700146,500439,Cash,1165.26,Refunded
TXN700147,500250,Cash,1356.78,Success
TXN700148,502213,UPI,1373.24,Success
TXN700149,502760,Debit Card,186.17,Failed
TXN700150,502050,,1183.34,Success
TXN700151,500039,Cash,882.98,Success
TXN700152,502985,Cash,254.92,Refunded
TXN700153,503278,Cash,652.22,Success
TXN700154,503680,Debit Card,1158.29,Success
TXN700155,504914,UPI,733.64,Success
TXN700156,501973,Debit Card,564.88,Success
TXN700157,502646,Cash,1172.42,Success
TXN700158,504603,Cash,858.73,Success
TXN700159,504579,UPI,544.0,Success
